Time,Castle,Inhabitant,Remarks
21:06,Arbor of Light,Fatality-,
21:09,Arbor of Light,CeruleanV II,
21:58,Arbor of Light, Fatality-,WINNER
19:58,Swanhild,Ethereal Royale,OWNER
20:00,Swanhild,CeruleanV,
20:35,Swanhild,Imperial Regalia,
20:39,Swanhild,CeruleanV,
21:04,Swanhild, Oops` ,
21:16,Swanhild,CeruleanV,
21:21,Swanhild,[SHD]-IntruderZ,
21:27,Swanhild,CeruleanV,
21:35,Swanhild,YinYangSquad,
21:38,Swanhild,FataIity-,
21:58,Swanhild,Insignia Regalia,WINNER
19:58,Red Palace, Oops` ,OWNER
20:19,Red Palace,Immanent Regalia,
20:21,Red Palace,DarkEmpire IV,
20:26,Red Palace, Oops` ,
20:29,Red Palace,Fatality-,
20:45,Red Palace, Oops` ,
20:55,Red Palace,FataIity-,
21:40,Red Palace, Oops` ,
21:58,Red Palace,Imperial Regalia,WINNER
19:58,Hohenschwangau,Fatality-,OWNER
20:09,Hohenschwangau,Atlas,
20:31,Hohenschwangau,Fatality-,
20:45,Hohenschwangau,Immanent Regalia,
21:04,Hohenschwangau,Fatality-,
21:11,Hohenschwangau,Atlas,
21:21,Hohenschwangau,Fatality-,
21:28,Hohenschwangau,Imperial Regalia,
21:58,Hohenschwangau,Fatality-,WINNER
19:58,Leprion,Imperial Regalia,OWNER
20:25,Leprion,DarkEmpire-V,
20:30,Leprion,YinYangSquad,
20:45,Leprion,Vice,
21:00,Leprion,Imperial Regalia,
21:10,Leprion,DarkEmpire IV,
21:13,Leprion,Atlas,
21:58,Leprion,Vice,WINNER
19:58,Lazreagues,Insignia Regalia,OWNER
20:13,Lazreagues,Vice,
20:22,Lazreagues,CeruleanV,
20:25,Lazreagues,DarkEmpire IV,
20:28,Lazreagues,Atlas,
20:32,Lazreagues,Valkyrie Spirit,
21:58,Lazreagues,CeruleanV,WINNER
19:58,Bamboo Forest of Hermitage, Fatality-,OWNER
20:02,Bamboo Forest of Hermitage,HiddenRainVilIage,
20:12,Bamboo Forest of Hermitage,OldMan~*,
20:18,Bamboo Forest of Hermitage,Fruits,
20:21,Bamboo Forest of Hermitage,HiddenRainVilIage,
21:58,Bamboo Forest of Hermitage,[ b a K o N ],WINNER
19:58,Rothenburg,Atlas,OWNER
20:02,Rothenburg,Azkal,
20:55,Rothenburg,Imperial Regalia,
21:19,Rothenburg,Atlas,
21:58,Rothenburg,Azkal,WINNER
19:58,Melcedez,Ethereal Order,OWNER
21:04,Melcedez,Immanent Regalia,
21:19,Melcedez,Ethereal Order,
21:58,Melcedez,Atlas,WINNER
19:58,Wurzburgk, Oops` ,OWNER
20:22,Wurzburgk,Synergy,
21:25,Wurzburgk,FataIity-,
21:58,Wurzburgk,Synergy,WINNER
19:58,Skoegul,Ethereal Royale,OWNER
21:27,Skoegul,Insignia Regalia,
21:58,Skoegul,Ethereal Royale,WINNER
19:58,Kriemhild,CeruleanV II,OWNER
19:58,Garden of Heaven,Atlas,OWNER
19:58,Neuschwanstein,Pitchfork Emporium,OWNER
19:58,Nuernberg,Atlas,OWNER
,,,
